property_id,property_type,listing_title,locality,city,zone,renter_segment,bedrooms,bathrooms,floor,total_floors,property_age,monthly_rent,security_deposit,maintenance,electricity_estimate,area_sqft,furnishing_status,parking,balcony,lift,power_backup,water_supply,ac,wifi,food,laundry,gym,cctv,security,housekeeping,metro_station,metro_distance_km,nearest_college,college_distance_km,nearest_office_hub,office_distance_km,school_distance_km,hospital_distance_km,rating,review_count,available,listing_date,source
PROP_016,3BHK,Fully Furnished 3BHK Apartment in Gurugram Sector 45,GURUGRAM SECTOR 45,Gurugram,Gurugram,Family,3,2,5,5,3,"₹54,500",109k,"Rs. 5,100/month",3600,1720,Unfurnished,No,1,Y,No,12 Hours,Y,no,N,N,no,1,N,N,HUDA City Centre Metro Station,3.64 km,Ansal University,4.84 km,Golf Course Road Offices,1.59km,3.82 km,,4.3,50,N,2026-08-08,Housing.com
PROP_017,2BHK,Fully Furnished 2BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,2,2,3,5,14,"₹19,500","₹58,500",2600,1600,1074,Furnished,1,yes,Yes,0,12 Hours,Yes,no,no,No,N,Y,Y,Yes,Vaishali Metro Station,4.28 km,Inderprastha Dental College,8.29 km,Noida Sector 62 IT Park,,1.22 km,3.95 km,4.9,6,yes,2026-08-05,NoBroker
PROP_018,3BHK,Semi-Furnished 3BHK Apartment in Mukherjee Nagar,Mukherjee Nagar,Delhi,North Delhi,Family,3,2,3,4,14,22000,22000,0,2200,1242,Semi-Furnished,No,yes,No,N,12 Hours,No,1,0,0,0,Yes,yes,Y,GTB Nagar Metro Station,2.85km,SGTB Khalsa College,5.98km,Connaught Place,,2.03km,3.71 km,3.7,64,Yes,2026-06-30,MagicBricks
PROP_019,1RK,Semi-Furnished 1RK Apartment in Gurugram Sector 56,Gurugram Sec 56,Gurugram,Gurugram,Family,1,1,3,15,13,10k,"₹21,000",1k,,403,Semi-Furnished,0,No,N,yes,24 Hours,no,N,N,Y,0,No,Y,Y,Sector 56 Metro Station,3.19 km,IILM University,3.3 km,Golf Course Road Offices,,230m,5.26km,4.2,51,Yes,2026-08-08,NoBroker
PROP_020,1RK,Fully Furnished 1RK Apartment in Patel Nagar,Patel Nagar,Delhi,West Delhi,Student,1,1,0,3,6,"₹8,000","₹16,000",Rs. 600/month,700,302,Unfurnished,no,N,N,Yes,12 Hours,1,1,no,N,No,Yes,1,N,Patel Nagar Metro Station,2.63km,Kalindi College,5.86km,Rajendra Place IT Hub,,2.2,0.96km,3.2,41,1,2026-06-30,99acres
PROP_021,1RK,Fully Furnished 1RK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Student,1,1,5,5,15,"Rs. 5,500/month",11000,,,297,fully-furnished,0,Y,Y,Yes,12 Hours,1,N,N,N,0,Yes,Y,Yes,Vaishali Metro Station,2.81 km,Inderprastha Dental College,5.22 km,Noida Sector 62 IT Park,7.21,2.86km,4.81,4.7,57,no,2026-07-24,Housing.com
PROP_022,1BHK,Fully Furnished 1BHK Apartment in Mayur Vihar,Mayur Vihar,Delhi,East Delhi,Working Bachelor,1,1,11,12,4,18000,"Rs. 36,000/month","₹1,400",1100,549,Unfurnished,no,N,0,Yes,12 Hours,1,N,No,0,No,yes,N,0,Mayur Vihar 1 Metro Station,0.94km,Shaheed Sukhdev College of Business Studies,,Noida Sector 62 IT Park,2.75km,1.62km,4.79km,4.1,69,Yes,2026-07-02,99acres
PROP_023,1BHK,Fully Furnished 1BHK Apartment in Rajinder Nagar,Rajinder Nagar,Delhi,Central Delhi,Family,1,1,24,24,9,19000,38k,0,1400,541,fully-furnished,0,no,yes,No,4 Hours,1,No,No,no,yes,No,no,N,Rajendra Place Metro Station,4.19km,Venkateshwara College,,Rajendra Place IT Hub,,2.0,2.5km,3.3,28,Yes,2026-06-29,99acres
PROP_024,3BHK,Fully Furnished 3BHK Apartment in Green Park,Green Park,Delhi,South Delhi,Working Professional,3,2,3,4,0,84000,168000,,3000,1678,fully-furnished,no,Y,0,Y,24 Hours,1,Yes,N,Yes,0,No,Y,Yes,Green Park Metro Station,1.67 km,NIFT Delhi,960m,Bhikaji Cama Place,4.0 km,3.35 km,890m,4.2,42,Y,2026-07-10,99acres
PROP_025,1BHK,Semi-Furnished 1BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,1,1,13,15,12,10500,"Rs. 21,000/month","₹1,800",1000,647,Semi-Furnished,0,yes,1,Y,24 Hours,No,yes,N,Y,N,1,1,No,Vaishali Metro Station,3.3km,Inderprastha Dental College,9.14km,Noida Sector 62 IT Park,9.42,2.29km,3.94km,4.5,7,1,2026-07-21,NoBroker
PROP_026,1BHK,Fully Furnished 1BHK Apartment in Mayur Vihar,Mayur Vihar,Delhi,East Delhi,Family,1,1,11,12,14,16k,32k,1k,1200,640,fully-furnished,N,1,yes,0,24 Hours,1,N,No,N,no,no,no,yes,Mayur Vihar 1 Metro Station,3.59 km,Shaheed Sukhdev College of Business Studies,2.6km,Noida Sector 62 IT Park,,1.93km,3.56km,4.0,70,Yes,2026-08-09,99acres
PROP_027,3BHK,Fully Furnished 3BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Family,3,2,1,12,8,"₹20,000",40k,"Rs. 3,700/month",,1109 sq.ft.,fully-furnished,Y,Y,Yes,yes,4 Hours,yes,Y,No,No,Y,0,Yes,N,Rohini West Metro Station,,Delhi Technological University (DTU),3.23km,Netaji Subhash Place,4.05km,4.08 km,,4.0,7,1,2026-07-14,Housing.com
PROP_028,3BHK,Fully Furnished 3BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,3,2,2,8,15,"₹25,500",51k,0,2500,1160,fully-furnished,0,Y,Yes,0,24 Hours,yes,No,1,0,N,Yes,Y,0,Laxmi Nagar Metro Station,,Shyam Lal College,4.19km,Noida Sector 62 IT Park,,,3.45,3.3,64,Y,2026-07-05,MagicBricks
PROP_029,2BHK,Fully Furnished 2BHK Apartment in Green Park,Green Park,Delhi,South Delhi,Working Professional,2,2,15,15,9,63000,126k,,2600,1163,unfurnished,Yes,Yes,N,No,4 Hours,1,yes,0,1,yes,Yes,1,no,Green Park Metro Station,1.92,NIFT Delhi,2.28,Bhikaji Cama Place,7.78km,3.14 km,2.99,4.6,7,yes,2026-07-09,99acres
PROP_030,2BHK,Semi-Furnished 2BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,2,2,4,12,3,13000,26k,,1600,793,semi-furnished,1,0,yes,Y,4 Hours,1,0,N,N,yes,yes,Yes,Y,Laxmi Nagar Metro Station,3.26km,Shyam Lal College,1.28 km,Noida Sector 62 IT Park,11.68km,0.22,,4.8,52,1,2026-07-14,NoBroker
PROP_031,2BHK,Semi-Furnished 2BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,2,2,9,15,14,"Rs. 25,500/month","₹51,000",3k,1600,1185,Semi-Furnished,0,no,1,Yes,12 Hours,1,no,Y,no,1,N,Yes,yes,Vaishali Metro Station,2.2km,Inderprastha Dental College,,Noida Sector 62 IT Park,0.6 km,2.04 km,,3.7,42,Yes,2026-07-28,99acres
PROP_032,4BHK,Semi-Furnished 4BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Family,4,4,1,8,14,"₹37,500",75000,0,,1889,semi-furnished,Y,Yes,yes,yes,24 Hours,1,yes,0,1,No,1,Yes,N,Rohini West Metro Station,3.28,Delhi Technological University (DTU),4.14,Netaji Subhash Place,12.34km,3.78km,3.6km,3.3,44,Yes,2026-08-09,Housing.com
PROP_033,4BHK,Fully Furnished 4BHK Apartment in Preet Vihar,preet vihar,Delhi,East Delhi,Family,4,4,21,24,13,79k,"Rs. 158,000/month",0,5800,2537,fully-furnished,yes,Y,yes,No,24 Hours,1,No,No,Yes,No,Yes,yes,No,Preet Vihar Metro Station,720m,Vivekananda College,,Noida Sector 62 IT Park,3.9km,4.6km,3.58km,4.2,41,yes,2026-07-02,NoBroker
PROP_034,3BHK,Semi-Furnished 3BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,3,2,13,20,4,22k,44k,0,1500,1187,Semi-Furnished,Y,Yes,Y,yes,24 Hours,Yes,no,no,N,Yes,yes,No,0,Laxmi Nagar Metro Station,4.12km,Shyam Lal College,,Noida Sector 62 IT Park,10.7km,,1.66km,3.7,36,Y,2026-07-25,99acres
PROP_035,1BHK,Fully Furnished 1BHK Apartment in Pari Chowk,Pari Chowk,Greater Noida,Greater Noida,Student,1,1,23,24,15,"Rs. 7,500/month","Rs. 15,000/month",1k,1100,578,fully-furnished,N,1,Yes,Yes,4 Hours,Yes,0,yes,yes,1,1,Yes,1,Pari Chowk Metro Station,150m,Galgotias University,5.44km,Greater Noida Industrial Area,4.48,,0.4km,4.6,55,yes,2026-08-07,MagicBricks
PROP_036,1BHK,Fully Furnished 1BHK Apartment in Model Town,model town,Delhi,North Delhi,Family,1,1,3,15,1,21000,"Rs. 42,000/month",1k,1300,591,Furnished,0,Yes,Y,No,24 Hours,Y,yes,0,N,yes,1,Y,no,Model Town Metro Station,3.58 km,Miranda House,6.99km,Connaught Place,1.64 km,3.78 km,2.27km,3.4,29,Y,2026-07-06,Housing.com
PROP_037,2BHK,Fully Furnished 2BHK Apartment in Indirapuram,Indirapuram,Ghaziabad,Ghaziabad,Family,2,2,1,4,13,"₹16,000",48k,,,1033,Furnished,1,Yes,N,Y,12 Hours,Yes,1,no,no,0,Y,1,yes,Vaishali Metro Station,2.01,ABES Engineering College,4.38km,Noida Sector 62 IT Park,7.52km,570m,1.73km,3.6,80,yes,2026-07-15,MagicBricks
PROP_038,2BHK,Fully Furnished 2BHK Apartment in Shakarpur,SHAKARPUR,Delhi,East Delhi,Family,2,2,8,8,5,"Rs. 11,500/month","Rs. 23,000/month",2100,1300,691,fully-furnished,No,0,yes,Y,4 Hours,Yes,0,no,no,N,0,No,0,Nirman Vihar Metro Station,2.66,Bhim Rao Ambedkar College,5.48 km,Noida Sector 62 IT Park,13.89km,4.37km,2.68km,3.3,46,Yes,2026-08-07,NoBroker
PROP_039,2BHK,Fully Furnished 2BHK Apartment in Mayur Vihar,Mayur Vihar,Delhi,East Delhi,Family,2,2,2,5,9,"Rs. 26,000/month",52000,,1500,991,Furnished,yes,Y,1,0,12 Hours,Yes,Yes,Y,no,no,yes,1,no,Mayur Vihar 1 Metro Station,3.61km,Shaheed Sukhdev College of Business Studies,6.41 km,Noida Sector 62 IT Park,3.2km,3.36km,2.55km,4.5,25,1,2026-07-20,MagicBricks
PROP_040,2BHK,Semi-Furnished 2BHK Apartment in Preet Vihar,Preet Vihar,Delhi,East Delhi,Family,2,2,4,8,3,"₹31,000","Rs. 93,000/month","Rs. 2,700/month",1500,972,Semi-Furnished,yes,1,1,1,4 Hours,no,0,no,0,No,No,yes,0,Preet Vihar Metro Station,1.9,Vivekananda College,5.07,Noida Sector 62 IT Park,,2.33km,1.25 km,4.2,28,Y,2026-07-30,99acres
PROP_041,1BHK,Semi-Furnished 1BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,1,1,1,4,6,10k,21000,0,1200,680,Semi-Furnished,N,0,no,no,24 Hours,N,no,N,N,No,1,N,no,Vaishali Metro Station,3.19,Inderprastha Dental College,1.59km,Noida Sector 62 IT Park,2.62,1.75 km,1.71km,4.6,50,Y,2026-07-04,Housing.com
PROP_042,2BHK,Fully Furnished 2BHK Apartment in Noida Sector 137,Noida Sec 137,Noida,Noida,Family,2,2,4,5,15,"₹18,000",36000,,2000,991,fully-furnished,No,1,yes,Yes,12 Hours,yes,no,N,Y,No,N,yes,Y,Noida Sector 137 Metro Station,3.29km,Amity University Noida,,Noida Expressway Offices,6.72,,0.84km,3.6,9,yes,2026-07-11,Housing.com
PROP_043,2BHK,Fully Furnished 2BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Family,2,2,3,5,14,15k,30000,0,1500,696,unfurnished,No,no,1,1,12 Hours,yes,Yes,N,No,N,yes,N,no,Rohini West Metro Station,2.28 km,Delhi Technological University (DTU),,Netaji Subhash Place,7.74km,3.05km,3.31km,4.9,46,no,2026-07-20,Housing.com
PROP_044,2BHK,Fully Furnished 2BHK Apartment in Kamla Nagar,Kamla Nagar,Delhi,North Delhi,Family,2,2,18,20,2,"Rs. 15,500/month",31000,"₹2,100",1400,682,Furnished,1,yes,Yes,No,12 Hours,Yes,yes,yes,no,N,Y,yes,N,Vishwa Vidyalaya Metro Station,3.32 km,Kirori Mal College,1.45 km,Connaught Place,13.55 km,,2.75,4.1,33,Yes,2026-07-13,Housing.com
PROP_045,3BHK,Fully Furnished 3BHK Apartment in Karol Bagh,Karol Bagh,Delhi,Central Delhi,Family,3,2,8,15,2,47500,"Rs. 95,000/month","₹2,500",,1301,Unfurnished,Yes,Yes,Yes,No,12 Hours,Y,N,0,yes,Y,no,1,no,Karol Bagh Metro Station,3.32,Sri Guru Nanak Dev Khalsa College,,Connaught Place,12.04 km,0.92,5.61,3.2,69,Yes,2026-07-23,MagicBricks
PROP_046,1RK,Semi-Furnished 1RK Apartment in Malviya Nagar,Malviya Nagar,Delhi,South Delhi,Family,1,1,4,8,8,"Rs. 7,500/month",7500,0k,600,255,semi-furnished,0,Y,Y,yes,24 Hours,No,yes,N,N,no,1,Yes,Y,Malviya Nagar Metro Station,3.74km,College of Vocational Studies,7.06 km,Okhla Industrial Area,,4.21,,3.4,31,0,2026-07-12,MagicBricks
PROP_047,2BHK,Fully Furnished 2BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Working Bachelor,2,2,1,4,14,"₹21,000","Rs. 42,000/month",0,,1185,unfurnished,No,N,No,1,24 Hours,yes,0,0,0,0,yes,N,yes,Vaishali Metro Station,0.25km,Inderprastha Dental College,6.31km,Noida Sector 62 IT Park,4.06,1.62km,2.65km,4.1,7,1,2026-08-05,Housing.com
PROP_048,3BHK,Semi-Furnished 3BHK Apartment in Rajinder Nagar,rajinder nagar,Delhi,Central Delhi,Family,3,2,0,5,7,"Rs. 43,000/month",86000,0,2800,1231,semi-furnished,N,Yes,yes,1,12 Hours,no,Y,N,No,N,no,yes,0,Rajendra Place Metro Station,2.49,Venkateshwara College,2.0,Rajendra Place IT Hub,1.05,0.47,3.73 km,3.2,61,yes,2026-08-05,99acres
PROP_049,4BHK,Fully Furnished 4BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,4,4,7,15,5,34500,103k,"₹3,500",4400,1908,Unfurnished,Y,Yes,1,No,24 Hours,Y,no,No,no,Yes,Y,Yes,N,Laxmi Nagar Metro Station,2.07km,Shyam Lal College,2.87 km,Noida Sector 62 IT Park,4.12 km,0.53,,3.4,0,1,2026-07-18,NoBroker
PROP_050,1BHK,Super Premium 1RK (Outlier),Karol Bagh,Delhi,Central Delhi,Student,1,1,3,3,5,"₹1,50,000","₹26,000",0,1000,355,Furnished,0,Yes,N,yes,12 Hours,Y,N,No,0,no,Yes,Y,0,Karol Bagh Metro Station,980m,Sri Guru Nanak Dev Khalsa College,0.55 km,Connaught Place,,1.6km,,4.6,39,1,2026-07-13,99acres
PROP_051,2BHK,Fully Furnished 2BHK Apartment in Preet Vihar,Preet Vihar,Delhi,East Delhi,Family,2,2,18,24,7,"₹39,000","Rs. 78,000/month",0,2200,1217,Furnished,Yes,Yes,yes,1,24 Hours,yes,no,1,1,yes,N,Yes,1,Preet Vihar Metro Station,2.53km,Vivekananda College,8.61,Noida Sector 62 IT Park,8.04 km,4.6km,0.37 km,4.4,75,1,2026-08-06,Housing.com
PROP_052,2BHK,Semi-Furnished 2BHK Apartment in Mayur Vihar,mayur vihar,Delhi,East Delhi,Working Bachelor,2,2,0,15,10,"₹22,000",44k,2k,1500,992,Semi-Furnished,N,1,Yes,no,24 Hours,1,N,0,No,yes,0,N,no,Mayur Vihar 1 Metro Station,0.39km,Shaheed Sukhdev College of Business Studies,7.18km,Noida Sector 62 IT Park,6.35,3.95km,3.29,4.2,22,yes,2026-08-10,NoBroker
PROP_053,2BHK,Fully Furnished 2BHK Apartment in Janakpuri,Janakpuri,Delhi,West Delhi,Family,2,2,3,8,6,26500,53000,,1700,1019,fully-furnished,1,Yes,yes,No,24 Hours,Y,N,N,0,N,yes,1,No,Janakpuri West Metro Station,2.35 km,Bhaskaracharya College,6.72,Janakpuri District Centre,12.73,2.0km,3.99km,4.2,38,1,2026-08-09,99acres
PROP_054,3BHK,Fully Furnished 3BHK Apartment in Noida Sector 62,Noida Sec 62,Noida,Noida,Family,3,2,8,8,15,"Rs. 36,500/month",73000,2900,3300,1587 sq.ft.,unfurnished,N,yes,yes,1,24 Hours,Y,no,N,no,N,Y,Y,N,Noida Sector 62 Metro Station,2.14,JSS Academy of Technical Education,,Noida Sector 62 IT Park,1.28 km,,3.61,4.3,60,No,2026-07-01,Housing.com
PROP_054,1RK,Fully Furnished 1RK Apartment in Shakarpur,Shakarpur,Delhi,East Delhi,Student,1,1,4,5,13,5k,10000,,700,228,fully-furnished,0,1,Yes,Y,24 Hours,Y,no,Yes,no,no,N,Yes,N,Nirman Vihar Metro Station,,Bhim Rao Ambedkar College,8.29km,Noida Sector 62 IT Park,4.82km,1.6 km,4.45 km,4.2,43,yes,2026-07-23,Housing.com
PROP_056,2BHK,Fully Furnished 2BHK Apartment in Greater Kailash,Greater Kailash,Delhi,South Delhi,Family,2,2,7,12,4,"Rs. 59,500/month",59k,2500,1700,1073,Furnished,Yes,Yes,Y,no,12 Hours,Yes,No,No,no,no,1,Yes,no,Kailash Colony Metro Station,,Lady Shri Ram College (LSR),4.96 km,Nehru Place IT Hub,3.9,0.26km,,3.4,73,yes,2026-08-08,MagicBricks
PROP_057,1RK,Semi-Furnished 1RK Apartment in Knowledge Park,Knowledge Park,Greater Noida,Greater Noida,Student,1,1,2,4,10,"Rs. 5,000/month","Rs. 10,000/month",Rs. 800/month,700,305,Semi-Furnished,1,1,N,0,12 Hours,no,Yes,no,1,0,1,No,no,Knowledge Park II Metro Station,2.23 km,Sharda University,5.03,Greater Noida Industrial Area,13.37 km,2.32km,660m,4.3,1,yes,2026-07-02,99acres
PROP_058,2BHK,Fully Furnished 2BHK Apartment in Karol Bagh,karol bagh,Delhi,Central Delhi,Family,2,2,3,4,14,26k,52000,1k,1700,709,Furnished,0,1,0,1,4 Hours,Yes,1,Yes,N,no,0,N,no,Karol Bagh Metro Station,3.81,Sri Guru Nanak Dev Khalsa College,3.52km,Connaught Place,11.63 km,,4.38 km,3.8,57,yes,2026-08-13,99acres
PROP_059,2BHK,Fully Furnished 2BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,2,2,3,5,0,"Rs. 17,500/month",35k,2600,1700,866 sq.ft.,Unfurnished,Yes,1,1,no,4 Hours,yes,no,Y,0,0,no,Y,0,Vaishali Metro Station,3.64km,Inderprastha Dental College,1.64 km,Noida Sector 62 IT Park,9.24km,4.45km,3.22km,4.6,70,no,2026-08-01,NoBroker
PROP_060,3BHK,Fully Furnished 3BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,3,2,2,5,8,28k,28000,4500,2500,1598,Furnished,Yes,Y,Yes,1,24 Hours,yes,0,N,No,0,Y,No,Y,Vaishali Metro Station,,Inderprastha Dental College,8.73 km,Noida Sector 62 IT Park,12.98,,1.59,4.3,82,yes,2026-08-01,99acres
PROP_061,1BHK,Fully Furnished 1BHK Apartment in Model Town,MODEL TOWN,Delhi,North Delhi,Family,1,1,2,4,7,"Rs. 21,000/month",42k,"Rs. 1,300/month",1000,453,unfurnished,No,no,0,1,24 Hours,Y,yes,N,no,0,No,Y,no,Model Town Metro Station,,Miranda House,6.92km,Connaught Place,5.15km,4.6km,5.69km,3.9,69,Yes,2026-07-11,99acres
PROP_062,2BHK,Semi-Furnished 2BHK Apartment in Vaishali,vaishali,Ghaziabad,Ghaziabad,Working Bachelor,2,2,0,5,14,"₹23,500",47000,0,,1095,semi-furnished,No,Yes,Y,yes,12 Hours,0,0,0,No,No,No,No,No,Vaishali Metro Station,1.38,Inderprastha Dental College,6.95km,Noida Sector 62 IT Park,9.3,1.55km,,3.8,84,yes,2026-07-10,NoBroker
PROP_063,1BHK,Fully Furnished 1BHK Apartment in Mukherjee Nagar,Mukherjee Nagar,Delhi,North Delhi,Student,1,1,20,20,4,"₹8,500","₹17,000",0,900,429,fully-furnished,yes,Y,yes,No,4 Hours,1,No,No,no,0,N,yes,Yes,GTB Nagar Metro Station,,SGTB Khalsa College,3.38,Connaught Place,7.03km,3.16km,2.04km,4.2,72,Y,2026-07-17,NoBroker
PROP_064,3BHK,Fully Furnished 3BHK Apartment in Vaishali,VAISHALI,Ghaziabad,Ghaziabad,Family,3,2,3,3,6,36000,"₹72,000","₹3,100",,1908,Unfurnished,N,1,no,yes,4 Hours,Y,Yes,No,no,no,yes,yes,0,Vaishali Metro Station,4.23km,Inderprastha Dental College,690m,Noida Sector 62 IT Park,11.54km,1.31,,3.6,85,Y,2026-07-20,Housing.com
