property_id,property_type,listing_title,locality,city,zone,renter_segment,bedrooms,bathrooms,floor,total_floors,property_age,monthly_rent,security_deposit,maintenance,electricity_estimate,area_sqft,furnishing_status,parking,balcony,lift,power_backup,water_supply,ac,wifi,food,laundry,gym,cctv,security,housekeeping,metro_station,metro_distance_km,nearest_college,college_distance_km,nearest_office_hub,office_distance_km,school_distance_km,hospital_distance_km,rating,review_count,available,listing_date,source,rent_per_sqft,vfm_student,vfm_professional,vfm_bachelor,vfm_family
PROP_012,2BHK,Fully Furnished 2BHK Apartment in Saket,Saket,Delhi,South Delhi,Family,2,2,1,4,0,42500,85000,0.0,1600.0,963,Furnished,Yes,Yes,No,No,24 Hours,Yes,No,No,No,No,Yes,No,No,Saket Metro Station,3.13,Gargi College,7.09,Saket District Centre,14.17,2.6,3.11,3.3,5,No,2026-07-06,99acres,44.13,42.2,38.2,46.8,44.4
PROP_013,2BHK,Fully Furnished 2BHK Apartment in Kamla Nagar,Kamla Nagar,Delhi,North Delhi,Working Bachelor,2,2,3,3,2,17000,34000,0.0,1800.0,733,Furnished,Yes,Yes,No,No,12 Hours,Yes,Yes,No,No,No,Yes,No,No,Vishwa Vidyalaya Metro Station,0.63,Kirori Mal College,9.74,Connaught Place,9.33,1.35,3.81,4.1,70,Yes,2026-08-06,Housing.com,23.19,57.5,52.1,61.5,48.4
PROP_014,2BHK,Fully Furnished 2BHK Apartment in Knowledge Park,Knowledge Park,Greater Noida,Greater Noida,Working Bachelor,2,2,4,24,14,15500,31000,2368.0,2900.0,1184,Furnished,Yes,Yes,Yes,No,4 Hours,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Knowledge Park II Metro Station,0.54,Sharda University,3.79,Greater Noida Industrial Area,9.93,0.89,5.26,4.8,9,Yes,2026-07-23,Housing.com,13.09,64.8,58.5,68.0,54.1
PROP_015,3BHK,Fully Furnished 3BHK Apartment in Saket,Saket,Delhi,South Delhi,Family,3,2,2,3,11,58500,117000,0.0,2300.0,1622,Furnished,Yes,Yes,No,Yes,4 Hours,Yes,No,No,No,No,Yes,No,No,Saket Metro Station,0.42,Gargi College,4.32,Saket District Centre,14.82,1.64,5.78,4.4,58,Yes,2026-07-20,Housing.com,36.07,58.5,54.5,62.7,51.0
PROP_016,3BHK,Fully Furnished 3BHK Apartment in Gurugram Sector 45,Gurugram Sector 45,Gurugram,Gurugram,Family,3,2,5,5,3,54500,109000,5100.0,3600.0,1720,Furnished,No,Yes,Yes,No,12 Hours,Yes,No,No,No,No,Yes,No,No,HUDA City Centre Metro Station,3.64,Ansal University,4.84,Golf Course Road Offices,1.59,3.82,2.3,4.3,50,No,2026-08-08,Housing.com,31.69,40.2,43.0,48.5,46.5
PROP_017,2BHK,Fully Furnished 2BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,2,2,3,5,14,19500,58500,2600.0,1600.0,1074,Furnished,Yes,Yes,Yes,No,12 Hours,Yes,No,No,No,No,Yes,Yes,Yes,Vaishali Metro Station,4.28,Inderprastha Dental College,8.29,Noida Sector 62 IT Park,7.94,1.22,3.95,4.9,6,Yes,2026-08-05,NoBroker,18.16,44.5,39.1,48.5,47.5
PROP_018,3BHK,Semi-Furnished 3BHK Apartment in Mukherjee Nagar,Mukherjee Nagar,Delhi,North Delhi,Family,3,2,3,4,14,22000,22000,0.0,2200.0,1242,Semi-Furnished,No,Yes,No,No,12 Hours,No,Yes,No,No,No,Yes,Yes,Yes,GTB Nagar Metro Station,2.85,SGTB Khalsa College,5.98,Connaught Place,7.66,2.03,3.71,3.7,64,Yes,2026-06-30,MagicBricks,17.71,44.2,39.2,48.5,46.9
PROP_019,1RK,Semi-Furnished 1RK Apartment in Gurugram Sector 56,Gurugram Sector 56,Gurugram,Gurugram,Family,1,1,3,15,13,10000,21000,1000.0,704.0,403,Semi-Furnished,No,No,No,Yes,24 Hours,No,No,No,Yes,No,No,Yes,Yes,Sector 56 Metro Station,3.19,IILM University,3.3,Golf Course Road Offices,6.72,0.23,5.26,4.2,51,Yes,2026-08-08,NoBroker,24.81,45.9,39.4,49.1,56.3
PROP_020,1RK,Fully Furnished 1RK Apartment in Patel Nagar,Patel Nagar,Delhi,West Delhi,Student,1,1,0,3,6,8000,16000,600.0,700.0,302,Furnished,No,No,No,Yes,12 Hours,Yes,Yes,No,No,No,Yes,Yes,No,Patel Nagar Metro Station,2.63,Kalindi College,5.86,Rajendra Place IT Hub,6.08,2.2,0.96,3.2,41,Yes,2026-06-30,99acres,26.49,46.0,40.7,50.4,49.8
PROP_021,1RK,Fully Furnished 1RK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Student,1,1,5,5,15,5500,11000,0.0,745.0,297,Furnished,No,Yes,Yes,Yes,12 Hours,Yes,No,No,No,No,Yes,Yes,Yes,Vaishali Metro Station,2.81,Inderprastha Dental College,5.22,Noida Sector 62 IT Park,7.21,2.86,4.81,4.7,57,No,2026-07-24,Housing.com,18.52,47.9,41.9,51.7,39.7
PROP_022,1BHK,Fully Furnished 1BHK Apartment in Mayur Vihar,Mayur Vihar,Delhi,East Delhi,Working Bachelor,1,1,11,12,4,18000,36000,1400.0,1100.0,549,Furnished,No,No,No,Yes,12 Hours,Yes,No,No,No,No,Yes,No,No,Mayur Vihar 1 Metro Station,0.94,Shaheed Sukhdev College of Business Studies,4.68,Noida Sector 62 IT Park,2.75,1.62,4.79,4.1,69,Yes,2026-07-02,99acres,32.79,51.1,47.7,56.0,44.8
PROP_023,1BHK,Fully Furnished 1BHK Apartment in Rajinder Nagar,Rajinder Nagar,Delhi,Central Delhi,Family,1,1,24,24,9,19000,38000,0.0,1400.0,541,Furnished,No,No,Yes,No,4 Hours,Yes,No,No,No,Yes,No,No,No,Rajendra Place Metro Station,4.19,Venkateshwara College,3.76,Rajendra Place IT Hub,6.63,2.0,2.5,3.3,28,Yes,2026-06-29,99acres,35.12,41.6,34.8,44.2,41.3
PROP_024,3BHK,Fully Furnished 3BHK Apartment in Green Park,Green Park,Delhi,South Delhi,Working Professional,3,2,3,4,0,84000,168000,0.0,3000.0,1678,Furnished,No,Yes,No,Yes,24 Hours,Yes,Yes,No,Yes,No,No,Yes,Yes,Green Park Metro Station,1.67,NIFT Delhi,0.96,Bhikaji Cama Place,4.0,3.35,0.89,4.2,42,Yes,2026-07-10,99acres,50.06,56.5,45.6,52.6,50.8
PROP_025,1BHK,Semi-Furnished 1BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,1,1,13,15,12,10500,21000,1800.0,1000.0,647,Semi-Furnished,No,Yes,Yes,Yes,24 Hours,No,Yes,No,Yes,No,Yes,Yes,No,Vaishali Metro Station,3.3,Inderprastha Dental College,9.14,Noida Sector 62 IT Park,9.42,2.29,3.94,4.5,7,Yes,2026-07-21,NoBroker,16.23,46.3,40.6,50.3,42.2
PROP_026,1BHK,Fully Furnished 1BHK Apartment in Mayur Vihar,Mayur Vihar,Delhi,East Delhi,Family,1,1,11,12,14,16000,32000,1000.0,1200.0,640,Furnished,No,Yes,Yes,No,24 Hours,Yes,No,No,No,No,No,No,Yes,Mayur Vihar 1 Metro Station,3.59,Shaheed Sukhdev College of Business Studies,2.6,Noida Sector 62 IT Park,6.21,1.93,3.56,4.0,70,Yes,2026-08-09,99acres,25.0,44.9,36.3,45.8,40.0
PROP_027,3BHK,Fully Furnished 3BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Family,3,2,1,12,8,20000,40000,3700.0,1963.0,1109,Furnished,Yes,Yes,Yes,Yes,4 Hours,Yes,Yes,No,No,Yes,No,Yes,No,Rohini West Metro Station,2.76,Delhi Technological University (DTU),3.23,Netaji Subhash Place,4.05,4.08,3.69,4.0,7,Yes,2026-07-14,Housing.com,18.03,50.9,45.0,54.0,41.5
PROP_028,3BHK,Fully Furnished 3BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,3,2,2,8,15,25500,51000,0.0,2500.0,1160,Furnished,No,Yes,Yes,No,24 Hours,Yes,No,Yes,No,No,Yes,Yes,No,Laxmi Nagar Metro Station,2.98,Shyam Lal College,4.19,Noida Sector 62 IT Park,7.65,2.22,3.45,3.3,64,Yes,2026-07-05,MagicBricks,21.98,45.1,39.5,48.7,44.9
PROP_029,2BHK,Fully Furnished 2BHK Apartment in Green Park,Green Park,Delhi,South Delhi,Working Professional,2,2,15,15,9,63000,126000,0.0,2600.0,1163,Furnished,Yes,Yes,No,No,4 Hours,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Green Park Metro Station,1.92,NIFT Delhi,2.28,Bhikaji Cama Place,7.78,3.14,2.99,4.6,7,Yes,2026-07-09,99acres,54.17,51.7,45.5,53.5,44.8
PROP_030,2BHK,Semi-Furnished 2BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,2,2,4,12,3,13000,26000,0.0,1600.0,793,Semi-Furnished,Yes,No,Yes,Yes,4 Hours,Yes,No,No,No,Yes,Yes,Yes,Yes,Laxmi Nagar Metro Station,3.26,Shyam Lal College,1.28,Noida Sector 62 IT Park,11.68,0.22,2.82,4.8,52,Yes,2026-07-14,NoBroker,16.39,55.3,42.8,52.4,58.1
PROP_031,2BHK,Semi-Furnished 2BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,2,2,9,15,14,25500,51000,3000.0,1600.0,1185,Semi-Furnished,No,No,Yes,Yes,12 Hours,Yes,No,Yes,No,Yes,No,Yes,Yes,Vaishali Metro Station,2.2,Inderprastha Dental College,4.69,Noida Sector 62 IT Park,0.6,2.04,3.0,3.7,42,Yes,2026-07-28,99acres,21.52,48.4,57.7,60.7,46.4
PROP_032,4BHK,Semi-Furnished 4BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Family,4,4,1,8,14,37500,75000,0.0,2933.0,1889,Semi-Furnished,Yes,Yes,Yes,Yes,24 Hours,Yes,Yes,No,Yes,No,Yes,Yes,No,Rohini West Metro Station,3.28,Delhi Technological University (DTU),4.14,Netaji Subhash Place,12.34,3.78,3.6,3.3,44,Yes,2026-08-09,Housing.com,19.85,48.5,43.5,52.3,45.5
PROP_033,4BHK,Fully Furnished 4BHK Apartment in Preet Vihar,Preet Vihar,Delhi,East Delhi,Family,4,4,21,24,13,79000,158000,0.0,5800.0,2537,Furnished,Yes,Yes,Yes,No,24 Hours,Yes,No,No,Yes,No,Yes,Yes,No,Preet Vihar Metro Station,0.72,Vivekananda College,5.07,Noida Sector 62 IT Park,3.9,4.6,3.58,4.2,41,Yes,2026-07-02,NoBroker,31.14,53.0,50.5,57.6,46.7
PROP_034,3BHK,Semi-Furnished 3BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,3,2,13,20,4,22000,44000,0.0,1500.0,1187,Semi-Furnished,Yes,Yes,Yes,Yes,24 Hours,Yes,No,No,No,Yes,Yes,No,No,Laxmi Nagar Metro Station,4.12,Shyam Lal College,6.2,Noida Sector 62 IT Park,10.7,2.22,1.66,3.7,36,Yes,2026-07-25,99acres,18.53,45.5,39.8,49.1,46.0
PROP_035,1BHK,Fully Furnished 1BHK Apartment in Pari Chowk,Pari Chowk,Greater Noida,Greater Noida,Student,1,1,23,24,15,7500,15000,1000.0,1100.0,578,Furnished,No,Yes,Yes,Yes,4 Hours,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Pari Chowk Metro Station,0.15,Galgotias University,5.44,Greater Noida Industrial Area,4.48,3.24,0.4,4.6,55,Yes,2026-08-07,MagicBricks,12.98,72.2,67.2,76.6,55.8
PROP_036,1BHK,Fully Furnished 1BHK Apartment in Model Town,Model Town,Delhi,North Delhi,Family,1,1,3,15,1,21000,42000,1000.0,1300.0,591,Furnished,No,Yes,Yes,No,24 Hours,Yes,Yes,No,No,Yes,Yes,Yes,No,Model Town Metro Station,3.58,Miranda House,6.99,Connaught Place,1.64,3.78,2.27,3.4,29,Yes,2026-07-06,Housing.com,35.53,46.0,47.9,54.5,44.1
PROP_037,2BHK,Fully Furnished 2BHK Apartment in Indirapuram,Indirapuram,Ghaziabad,Ghaziabad,Family,2,2,1,4,13,16000,48000,0.0,1849.0,1033,Furnished,Yes,Yes,No,Yes,12 Hours,Yes,Yes,No,No,No,Yes,Yes,Yes,Vaishali Metro Station,2.01,ABES Engineering College,4.38,Noida Sector 62 IT Park,7.52,0.57,1.73,3.6,80,Yes,2026-07-15,MagicBricks,15.49,51.1,45.1,54.6,56.6
PROP_038,2BHK,Fully Furnished 2BHK Apartment in Shakarpur,Shakarpur,Delhi,East Delhi,Family,2,2,8,8,5,11500,23000,2100.0,1300.0,691,Furnished,No,No,Yes,Yes,4 Hours,Yes,No,No,No,No,No,No,No,Nirman Vihar Metro Station,2.66,Bhim Rao Ambedkar College,5.48,Noida Sector 62 IT Park,13.89,4.37,2.68,3.3,46,Yes,2026-08-07,NoBroker,16.64,43.2,36.5,46.2,38.0
PROP_039,2BHK,Fully Furnished 2BHK Apartment in Mayur Vihar,Mayur Vihar,Delhi,East Delhi,Family,2,2,2,5,9,26000,52000,0.0,1500.0,991,Furnished,Yes,Yes,Yes,No,12 Hours,Yes,Yes,Yes,No,No,Yes,Yes,No,Mayur Vihar 1 Metro Station,3.61,Shaheed Sukhdev College of Business Studies,6.41,Noida Sector 62 IT Park,3.2,3.36,2.55,4.5,25,Yes,2026-07-20,MagicBricks,26.24,46.6,43.5,51.9,43.3
PROP_040,2BHK,Semi-Furnished 2BHK Apartment in Preet Vihar,Preet Vihar,Delhi,East Delhi,Family,2,2,4,8,3,31000,93000,2700.0,1500.0,972,Semi-Furnished,Yes,Yes,Yes,Yes,4 Hours,No,No,No,No,No,No,Yes,No,Preet Vihar Metro Station,1.9,Vivekananda College,5.07,Noida Sector 62 IT Park,5.17,2.33,1.25,4.2,28,Yes,2026-07-30,99acres,31.89,46.4,41.2,50.1,46.8
PROP_041,1BHK,Semi-Furnished 1BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,1,1,1,4,6,10000,21000,0.0,1200.0,680,Semi-Furnished,No,No,No,No,24 Hours,No,No,No,No,No,Yes,No,No,Vaishali Metro Station,3.19,Inderprastha Dental College,1.59,Noida Sector 62 IT Park,2.62,1.75,1.71,4.6,50,Yes,2026-07-04,Housing.com,14.71,43.6,34.9,43.4,45.9
PROP_042,2BHK,Fully Furnished 2BHK Apartment in Noida Sector 137,Noida Sector 137,Noida,Noida,Family,2,2,4,5,15,18000,36000,1982.0,2000.0,991,Furnished,No,Yes,Yes,Yes,12 Hours,Yes,No,No,Yes,No,No,Yes,Yes,Noida Sector 137 Metro Station,3.29,Amity University Noida,7.57,Noida Expressway Offices,6.72,2.38,0.84,3.6,9,Yes,2026-07-11,Housing.com,18.16,47.7,42.5,51.9,50.9
PROP_043,2BHK,Fully Furnished 2BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Family,2,2,3,5,14,15000,30000,0.0,1500.0,696,Furnished,No,No,Yes,Yes,12 Hours,Yes,Yes,No,No,No,Yes,No,No,Rohini West Metro Station,2.28,Delhi Technological University (DTU),4.14,Netaji Subhash Place,7.74,3.05,3.31,4.9,46,No,2026-07-20,Housing.com,21.55,47.4,41.2,50.7,41.5
PROP_044,2BHK,Fully Furnished 2BHK Apartment in Kamla Nagar,Kamla Nagar,Delhi,North Delhi,Family,2,2,18,20,2,15500,31000,2100.0,1400.0,682,Furnished,Yes,Yes,Yes,No,12 Hours,Yes,Yes,Yes,No,No,Yes,Yes,No,Vishwa Vidyalaya Metro Station,3.32,Kirori Mal College,1.45,Connaught Place,13.55,2.63,2.75,4.1,33,Yes,2026-07-13,Housing.com,22.73,54.6,43.3,52.8,44.2
PROP_045,3BHK,Fully Furnished 3BHK Apartment in Karol Bagh,Karol Bagh,Delhi,Central Delhi,Family,3,2,8,15,2,47500,95000,2500.0,2251.0,1301,Furnished,Yes,Yes,Yes,No,12 Hours,Yes,No,No,Yes,Yes,No,Yes,No,Karol Bagh Metro Station,3.32,Sri Guru Nanak Dev Khalsa College,4.73,Connaught Place,12.04,0.92,5.61,3.2,69,Yes,2026-07-23,MagicBricks,36.51,44.8,39.8,48.3,48.4
PROP_046,1RK,Semi-Furnished 1RK Apartment in Malviya Nagar,Malviya Nagar,Delhi,South Delhi,Family,1,1,4,8,8,7500,7500,0.0,600.0,255,Semi-Furnished,No,Yes,Yes,Yes,24 Hours,No,Yes,No,No,No,Yes,Yes,Yes,Malviya Nagar Metro Station,3.74,College of Vocational Studies,7.06,Okhla Industrial Area,5.98,4.21,2.2,3.4,31,No,2026-07-12,MagicBricks,29.41,48.1,43.5,53.2,44.1
PROP_047,2BHK,Fully Furnished 2BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Working Bachelor,2,2,1,4,14,21000,42000,0.0,2077.0,1185,Furnished,No,No,No,Yes,24 Hours,Yes,No,No,No,No,Yes,No,Yes,Vaishali Metro Station,0.25,Inderprastha Dental College,6.31,Noida Sector 62 IT Park,4.06,1.62,2.65,4.1,7,Yes,2026-08-05,Housing.com,17.72,60.1,55.1,64.1,49.0
PROP_048,3BHK,Semi-Furnished 3BHK Apartment in Rajinder Nagar,Rajinder Nagar,Delhi,Central Delhi,Family,3,2,0,5,7,43000,86000,0.0,2800.0,1231,Semi-Furnished,No,Yes,Yes,Yes,12 Hours,No,Yes,No,No,No,No,Yes,No,Rajendra Place Metro Station,2.49,Venkateshwara College,2.0,Rajendra Place IT Hub,1.05,0.47,3.73,3.2,61,Yes,2026-08-05,99acres,34.93,47.4,49.5,53.9,55.6
PROP_049,4BHK,Fully Furnished 4BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,4,4,7,15,5,34500,103000,3500.0,4400.0,1908,Furnished,Yes,Yes,Yes,No,24 Hours,Yes,No,No,No,Yes,Yes,Yes,No,Laxmi Nagar Metro Station,2.07,Shyam Lal College,2.87,Noida Sector 62 IT Park,4.12,0.53,2.82,3.4,0,Yes,2026-07-18,NoBroker,18.08,49.6,43.8,52.4,58.3
PROP_051,2BHK,Fully Furnished 2BHK Apartment in Preet Vihar,Preet Vihar,Delhi,East Delhi,Family,2,2,18,24,7,39000,78000,0.0,2200.0,1217,Furnished,Yes,Yes,Yes,Yes,24 Hours,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Preet Vihar Metro Station,2.53,Vivekananda College,8.61,Noida Sector 62 IT Park,8.04,4.6,0.37,4.4,75,Yes,2026-08-06,Housing.com,32.05,50.7,45.7,54.4,49.8
PROP_052,2BHK,Semi-Furnished 2BHK Apartment in Mayur Vihar,Mayur Vihar,Delhi,East Delhi,Working Bachelor,2,2,0,15,10,22000,44000,2000.0,1500.0,992,Semi-Furnished,No,Yes,Yes,No,24 Hours,Yes,No,No,No,Yes,No,No,No,Mayur Vihar 1 Metro Station,0.39,Shaheed Sukhdev College of Business Studies,7.18,Noida Sector 62 IT Park,6.35,3.95,3.29,4.2,22,Yes,2026-08-10,NoBroker,22.18,58.8,52.8,62.1,41.2
PROP_053,2BHK,Fully Furnished 2BHK Apartment in Janakpuri,Janakpuri,Delhi,West Delhi,Family,2,2,3,8,6,26500,53000,0.0,1700.0,1019,Furnished,Yes,Yes,Yes,No,24 Hours,Yes,No,No,No,No,Yes,Yes,No,Janakpuri West Metro Station,2.35,Bhaskaracharya College,6.72,Janakpuri District Centre,12.73,2.0,3.99,4.2,38,Yes,2026-08-09,99acres,26.01,46.4,41.7,50.8,45.9
PROP_054,3BHK,Fully Furnished 3BHK Apartment in Noida Sector 62,Noida Sector 62,Noida,Noida,Family,3,2,8,8,15,36500,73000,2900.0,3300.0,1587,Furnished,No,Yes,Yes,Yes,24 Hours,Yes,No,No,No,No,Yes,Yes,No,Noida Sector 62 Metro Station,2.14,JSS Academy of Technical Education,5.03,Noida Sector 62 IT Park,1.28,2.69,3.61,4.3,60,No,2026-07-01,Housing.com,23.0,47.0,51.5,56.7,49.0
PROP_056,2BHK,Fully Furnished 2BHK Apartment in Greater Kailash,Greater Kailash,Delhi,South Delhi,Family,2,2,7,12,4,59500,59000,2500.0,1700.0,1073,Furnished,Yes,Yes,Yes,No,12 Hours,Yes,No,No,No,No,Yes,Yes,No,Kailash Colony Metro Station,1.56,Lady Shri Ram College (LSR),4.96,Nehru Place IT Hub,3.9,0.26,3.7,3.4,73,Yes,2026-08-08,MagicBricks,55.45,48.0,45.6,53.3,59.3
PROP_057,1RK,Semi-Furnished 1RK Apartment in Knowledge Park,Knowledge Park,Greater Noida,Greater Noida,Student,1,1,2,4,10,5000,10000,800.0,700.0,305,Semi-Furnished,Yes,Yes,No,No,12 Hours,No,Yes,No,Yes,No,Yes,No,No,Knowledge Park II Metro Station,2.23,Sharda University,5.03,Greater Noida Industrial Area,13.37,2.32,0.66,4.3,1,Yes,2026-07-02,99acres,16.39,47.6,41.1,51.0,48.7
PROP_058,2BHK,Fully Furnished 2BHK Apartment in Karol Bagh,Karol Bagh,Delhi,Central Delhi,Family,2,2,3,4,14,26000,52000,1000.0,1700.0,709,Furnished,No,Yes,No,Yes,4 Hours,Yes,Yes,Yes,No,No,No,No,No,Karol Bagh Metro Station,3.81,Sri Guru Nanak Dev Khalsa College,3.52,Connaught Place,11.63,2.41,4.38,3.8,57,Yes,2026-08-13,99acres,36.67,44.5,37.6,46.8,38.8
PROP_059,2BHK,Fully Furnished 2BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,2,2,3,5,0,17500,35000,2600.0,1700.0,866,Furnished,Yes,Yes,Yes,No,4 Hours,Yes,No,Yes,No,No,No,Yes,No,Vaishali Metro Station,3.64,Inderprastha Dental College,1.64,Noida Sector 62 IT Park,9.24,4.45,3.22,4.6,70,No,2026-08-01,NoBroker,20.21,49.6,38.3,47.7,38.4
PROP_060,3BHK,Fully Furnished 3BHK Apartment in Vaishali,Vaishali,Ghaziabad,Ghaziabad,Family,3,2,2,5,8,28000,28000,4500.0,2500.0,1598,Furnished,Yes,Yes,Yes,Yes,24 Hours,Yes,No,No,No,No,Yes,No,Yes,Vaishali Metro Station,1.88,Inderprastha Dental College,8.73,Noida Sector 62 IT Park,12.98,2.46,1.59,4.3,82,Yes,2026-08-01,99acres,17.52,49.0,43.3,52.4,46.8
